city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details,price_per_meter,age_category
الرياض,حي العارض,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,New
الرياض,حي القادسية,جنوب,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000,"*** فيلا درج مع الصالة جديدة ***

عبارة عن مدخل سيارة و مشب و مجلس و مقلط و ٢ صالة و مطبخ ومستودع و ٤ غرف نوم منها واحدة ماستر و غرفة خادمة و٥ دورات مياه وغرفة غسيل وسطح 

التواصل عن طريق الواتساب 0537525709",162.16,New
الرياض,حي القادسية,جنوب,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000,فيلا للايجار درج داخلي مشب خارجي مجلس مقلط وصاله غرف كبار سن مجلس نساء فوق ٤غرف نوم الدور الثالث غرفه شغاله مع السطح السعر ستون الف ريال قابل للتفاوض +شقه للايجار ٣غرف وصاله به السطح خاص الايجار دفعتين 20000الف للاستفسار الرجاء التواصل مع الاخ ابوعبد...,157.89,New
الرياض,حي المعيزلة,غرب,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000,"فيلا للايجار        جديده لن تستخدم          شارع 20



تتكون من     من مجلس مشب  ومقلط وصاله  وغرفه ومطبخ  و٢ دوره مياه 

درج فوق  ٢ غرفه ماستر  و٢ غرفه وصاله و٣دوره مياه 
سطح غرفه شغاله ودوره مياه 
وبتوفيق للجميع .

وتساب 0553216330",220.0,New
الرياض,حي العليا,غرب,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000,"فيلا للايجار حي العليا 

الارضي مجالس وغرفتين ومطبخ دورتين مياه 
العلوي 
غرف نوم وصاله 

للاستفسار ابو احمد 
0533332881",175.0,Medium
الرياض,حي العارض,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,New
الرياض,حي العليا,جنوب غربي,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000,"New house for rent 150.000SR
New 
0500069102
New
4 bedrooms
4 bahrooms
4 livingrooms
Kitchen
Garage
No roof
New
0500069102

بيت بناء جديد دورين بدون سطح 
150.000 ريال",600.0,New
الرياض,حي العارض,شمال,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000,"دوبلكس للايجار مساحة ٢٩٠م
مؤثث بالكامل 
في حال الاستئجار بدون اثاث متحرك يكون السعر
١٢٠ الف ريال شاملة المطبخ واجهزته والمكيفات والدواليب
تتكون الفيلا من : 
الدور الأرضي / غرفة سائق مجلس رجال + صالة طعام + صالة مفتوحة على مجلس النساء + جلسة خارجية + ...",517.24,New
الرياض,حي الصحافة,شرق,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000,"للايجار فيلا درج صاله بحى الصحافة 
عبارة عن مدخل سيارة حوش واسع 
مجلس رجال ومجلس نساء 
ملقط وصاله مطبخ 
الدور العلوي 
5 غرفه نوم منهم غرفتين نوم ماستر 
وصاله 
السطح غرفه شغاله غرفه غسل 
والسطح واسع 
المطبخ راكبه المكيفات راكبه 
الفيلا مجدي بكامل 
قري...",225.0,New
الرياض,حي بنبان,شمال,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,150000,"مخطط الخير

للايجار او البيع فيلا زاوية

المساحة ٨٤٠م شوارع ١٥شرقي و١٥شمالي

المواصفات 
الدور الارضي اسقبال كامل

والدور الأول ٢غرفة نوم مع مساحة استخدام ٤غرف نوم ثاني

تقع فيلا شاليه أليجانس في الرياض، وعلى بعد 41 كم من الدرعية وميدان البجيري، كما ت...",178.57,New
الرياض,حي العارض,جنوب,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000,فيلا للايجار بحي العارض تتكون من ملحق مجلس مقلط صاله وحوش كبير وفوق خمسه غرف نوم وصاله واربعه دورات مياه والسطح غرفه وصاله ودورتين مياه للتواصل 0540850810,204.55,New
الرياض,حي النسيم الغربي,شرق,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000,فله جديدة درج داخلي فخمه جدا حي راقي جميع المدارس والخدمات متوفر الكهرباء مستقله قريب المسجد وطريق خريص ممتازه جدا للسكن العايلي..حوش كبير يتسع ٣سيارات,140.0,New
الرياض,حي الازدهار,شرق,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000,"الفيلا في حي الازدهار على شارعين متظاهرين شرقي ٢٠ وغربي ١٥
موقعها ممتاز وتصلح مقر لروضه لانها كانت مؤجرة لروضه
قريبة من الدائري الشرقي وطريق الإمام مخرج ٩",277.78,Old
الرياض,حي النرجس,شمال غربي,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000,"حي النرجس بعد جامع السيف فلا تشطيب ⭐️⭐️⭐️⭐️⭐️
يوجد فيها شقتين مدخل مستقل 
فلا ابو ماجد فلا ابو ماجد فلا ابو ماجد 
مجموعة المغيرّي العقارية شمال الرياض
يمكن التواصل مع الزميل 
الاستاذ عبدالرحمن المشاري 
0552852289",201.59,New
